START,n_0,C_min,Npred_0,CpredBound,Lambda_min
(5#)24,734,2.135493,733,1.250997,5.347567e-01
(7#)7/2,743,2.355865,739,1.259240,6.263996e-01
(5#)25,751,2.338294,761,1.267259,6.125653e-01
(5#)51/2,766,2.072834,773,1.278886,4.829274e-01
(5#)26,788,1.806384,787,1.290057,3.366407e-01
(5#)53/2,802,1.784236,797,1.296076,3.196491e-01
(5#)27,821,1.976976,823,1.304288,4.159111e-01
(5#)55/2,839,2.379710,839,1.313378,5.943762e-01
(7#)4,841,2.159749,853,1.326357,4.875559e-01
(5#)57/2,859,1.914982,859,1.329626,3.648105e-01
(5#)29,883,2.295458,883,1.339920,5.383225e-01
(5#)59/2,886,2.287381,887,1.344914,5.310774e-01
(5#)30,904,2.050129,911,1.354612,4.143877e-01
(5#)61/2,919,1.825774,919,1.360252,2.943340e-01
(5#)31,943,1.991920,941,1.368472,3.754042e-01
(7#)9/2,958,2.164457,953,1.372919,4.552304e-01
(5#)32,967,1.761041,971,1.381568,2.426860e-01
(5#)65/2,982,1.933461,977,1.385774,3.330528e-01
(5#)33,997,2.106150,997,1.391534,4.144549e-01
(5#)67/2,1009,1.898450,1019,1.398730,3.054731e-01
(5#)34,1024,2.252124,1024,1.403177,4.731348e-01
(5#)69/2,1048,2.030676,1039,1.410221,3.646223e-01
(7#)5,1063,2.195023,1063,1.414651,4.393097e-01
(5#)71/2,1072,2.361462,1069,1.421126,5.078314e-01
(5#)36,1094,2.506504,1093,1.427404,5.630315e-01
(5#)73/2,1109,1.952088,1097,1.430811,3.106582e-01
(5#)37,1123,2.110511,1123,1.437455,3.840559e-01
(5#)75/2,1126,2.104611,1129,1.441337,3.785595e-01
(5#)38,1147,2.252003,1153,1.448259,4.414579e-01
(11#)/2,1244,2.122683,1259,1.451932,3.797858e-01
(7#)6,1319,1.723241,1361,1.482739,1.503158e-01
(7#)13/2,1402,1.647631,1459,1.504951,9.057816e-02
(7#)7,1489,1.865276,1571,1.526438,2.004721e-01
(7#)15/2,1676,2.104753,1669,1.545705,3.087180e-01
(7#)8,1774,2.019039,1783,1.563242,2.558598e-01
(7#)17/2,1849,2.204669,1889,1.575873,3.357680e-01
(7#)9,1966,1.989272,1993,1.589299,2.244757e-01
(7#)19/2,2029,1.715762,2048,1.599212,7.034629e-02
(7#)10,2104,2.003507,2203,1.609549,2.189451e-01
(7#)21/2,2287,1.989104,2309,1.617191,2.069936e-01
(11#),2347,2.156625,2411,1.624504,2.833420e-01
(7#)23/2,2447,2.190317,2503,1.631036,2.948309e-01
(7#)12,2623,2.363446,2621,1.636640,3.674754e-01
(7#)25/2,2633,2.168203,2729,1.641875,2.780598e-01
(7#)13,2809,2.065835,2833,1.645844,2.272812e-01
(7#)27/2,2909,2.274897,2939,1.649555,3.214292e-01
(7#)14,2974,2.064698,3041,1.652988,2.223994e-01
(7#)29/2,3076,1.845344,3137,1.655377,1.086369e-01
(7#)15,3221,2.107297,3253,1.657728,2.399581e-01
(7#)31/2,3334,2.210551,3359,1.659301,2.868454e-01
(7#)16,3386,2.340982,3463,1.660688,3.433385e-01
(11#)3/2,3559,2.029695,3559,1.661745,2.000173e-01
(7#)17,3571,2.249487,3673,1.662461,3.024032e-01
(7#)35/2,3769,1.943543,3779,1.662884,1.559592e-01
(7#)18,3799,2.075010,3881,1.662908,2.213981e-01
(7#)37/2,3964,2.216472,3989,1.662535,2.875732e-01
(7#)19,4051,2.044491,4093,1.661945,2.071603e-01
(7#)39/2,4153,2.340594,4096,1.661312,3.427971e-01
(7#)20,4282,2.220909,4297,1.660180,2.909905e-01
(7#)41/2,4393,2.306710,4409,1.658894,3.296712e-01
(7#)21,4486,2.143577,4513,1.657515,2.571564e-01
(7#)43/2,4603,2.102361,4603,1.656184,2.385448e-01
(11#)2,4651,2.085780,4723,1.654222,2.318121e-01
(7#)45/2,4801,1.856187,4817,1.652542,1.162097e-01
(7#)23,4909,2.178086,4933,1.650306,2.774858e-01
(7#)47/2,4987,2.151973,5039,1.648111,2.667553e-01
(7#)24,5086,2.176695,5119,1.646364,2.792385e-01
(7#)49/2,5242,2.126897,5237,1.643649,2.577453e-01
(7#)25,5308,2.217466,5351,1.640878,3.011336e-01
(7#)51/2,5416,1.965120,5449,1.638385,1.818423e-01
(7#)26,5557,2.301782,5563,1.636862,3.409026e-01
(7#)53/2,5596,2.182571,5669,1.643435,2.837150e-01
(7#)27,5728,2.248387,5749,1.656265,3.056480e-01
(11#)5/2,5857,2.159168,5879,1.667437,2.584352e-01
(7#)28,5906,2.349289,5981,1.678567,3.361723e-01
(7#)57/2,6038,2.309643,6089,1.689791,3.124881e-01
(7#)29,6131,2.233345,6173,1.700478,2.725911e-01
(7#)59/2,6218,2.356115,6299,1.711056,3.199034e-01
(7#)30,6353,2.124621,6397,1.721139,2.106072e-01
(7#)61/2,6421,2.298798,6469,1.731590,2.833463e-01
(7#)31,6568,2.399779,6607,1.741474,3.206448e-01
(7#)63/2,6719,2.265862,6719,1.750285,2.581766e-01
(7#)32,6791,2.430712,6823,1.759744,3.230159e-01
(7#)65/2,6863,2.365471,6917,1.768090,2.910773e-01
(11#)3,7024,2.323062,7027,1.777399,2.677351e-01
(7#)67/2,7108,2.390305,7129,1.785310,2.918289e-01
(7#)34,7219,2.055910,7243,1.793849,1.363550e-01
(7#)69/2,7246,2.136908,7349,1.801366,1.708147e-01
(7#)35,7351,2.199762,7451,1.809102,1.955186e-01
(7#)71/2,7522,2.372402,7559,1.816797,2.668279e-01
(7#)36,7561,2.321013,7649,1.824167,2.408803e-01
(7#)73/2,7727,2.199214,7759,1.831640,1.828883e-01
(7#)37,7846,2.336977,7873,1.839444,2.393949e-01
(7#)75/2,7951,2.232082,7963,1.845537,1.901645e-01
(7#)38,8062,2.328303,8081,1.853018,2.283240e-01
(11#)7/2,8116,2.236375,8179,1.858945,1.848471e-01
(7#)39,8224,2.292547,8192,1.865201,2.062946e-01
(7#)79/2,8311,2.234912,8389,1.871771,1.773168e-01
(7#)40,8429,2.249292,8501,1.878383,1.802042e-01
(7#)81/2,8599,2.329117,8609,1.884396,2.118819e-01
(7#)41,8614,2.287560,8713,1.890618,1.905820e-01
(7#)83/2,8777,2.179478,8819,1.895938,1.393717e-01
(7#)42,8839,2.279660,8923,1.901481,1.813933e-01
(7#)85/2,9014,2.281605,9029,1.907232,1.792262e-01
(7#)43,9091,2.412999,9133,1.913072,2.321600e-01
(7#)87/2,9173,2.323530,9239,1.917980,1.918150e-01
(11#)4,9283,2.301998,9343,1.923198,1.797880e-01
(7#)89/2,9349,2.396602,9439,1.928511,2.173037e-01
(7#)45,9511,2.294051,9551,1.933911,1.707749e-01
(7#)91/2,9649,2.163663,9649,1.939225,1.095142e-01
(7#)46,9748,2.284701,9749,1.943286,1.618548e-01
(7#)93/2,9817,2.375649,9829,1.948122,1.984048e-01
(7#)47,9941,2.284239,9973,1.952779,1.567794e-01
(7#)95/2,10078,2.360845,10079,1.958166,1.870113e-01
(7#)48,10174,2.343381,10181,1.962360,1.774469e-01
(7#)97/2,10273,2.292671,10289,1.966681,1.533702e-01
(7#)49,10369,2.243034,10391,1.971177,1.291986e-01
(11#)9/2,10462,2.194423,10499,1.975187,1.052561e-01
(7#)50,10501,2.449522,10601,1.979292,2.131537e-01
(7#)101/2,10687,2.319381,10709,1.983486,1.564444e-01
(7#)51,10786,2.430362,10799,1.987532,2.011465e-01
(7#)103/2,10883,2.318296,10909,1.992118,1.516340e-01
(7#)52,11023,2.452351,11003,1.996096,2.058539e-01
(7#)105/2,11054,2.258518,11087,1.999423,1.218502e-01
(7#)53,11197,2.391314,11213,2.003209,1.770926e-01
(7#)107/2,11272,2.131467,11329,2.007077,6.013104e-02
(7#)54,11353,2.334737,11443,2.011022,1.492562e-01
(7#)109/2,11461,2.347919,11549,2.014350,1.532328e-01
(11#)5,11593,2.296655,11633,2.017902,1.293954e-01
(7#)111/2,11749,2.392249,11743,2.021466,1.684109e-01
(7#)56,11839,2.348206,11863,2.025219,1.479738e-01
(7#)113/2,11932,2.392674,11969,2.028365,1.651815e-01
(7#)57,11971,2.386736,12073,2.031705,1.610514e-01
(7#)115/2,12101,2.395745,12163,2.035609,1.628992e-01
(7#)58,12281,2.223656,12281,2.038596,8.689135e-02
(7#)117/2,12326,2.217079,12347,2.041614,8.244989e-02
(7#)59,12422,2.346659,12491,2.044700,1.377415e-01
(7#)119/2,12574,2.295932,12589,2.047861,1.143430e-01
(7#)60,12671,2.225896,12703,2.050917,8.187252e-02
(11#)11/2,12757,2.354186,12809,2.054161,1.363275e-01
(7#)61,12878,2.336543,12911,2.057242,1.273062e-01
(7#)123/2,12982,2.377047,13009,2.059944,1.431802e-01
(7#)62,13049,2.340065,13121,2.063164,1.259380e-01
(7#)125/2,13142,2.381559,13229,2.065736,1.422687e-01
(7#)63,13241,2.313245,13331,2.068814,1.116758e-01
(7#)127/2,13339,2.408045,13421,2.071371,1.506045e-01
(7#)64,13451,2.365320,13537,2.074105,1.313836e-01
(7#)129/2,13646,2.418129,13649,2.077009,1.520652e-01
(7#)65,13729,2.380300,13751,2.079827,1.349418e-01
(7#)131/2,13807,2.343338,13859,2.082194,1.181543e-01
(11#)6,13943,2.508139,13963,2.085084,1.847319e-01
(7#)133/2,14051,2.389016,14029,2.087395,1.349647e-01
(7#)67,14096,2.408715,14173,2.089921,1.419671e-01
(7#)135/2,14243,2.286441,14251,2.092463,8.865462e-02
(7#)68,14332,2.428418,14369,2.094925,1.477223e-01
(7#)137/2,14411,2.316236,14489,2.097403,9.924354e-02
(7#)69,14528,2.225437,14593,2.100079,5.797834e-02
(7#)139/2,14699,2.430591,14699,2.102764,1.448818e-01
(7#)70,14779,2.470069,14797,2.104801,1.600252e-01
(7#)141/2,14831,2.313924,14869,2.107053,9.365450e-02
(7#)71,14951,2.398094,15013,2.109468,1.282385e-01
(13#)/2,15784,2.297078,16141,2.111507,8.423597e-02
(11#)7,17218,2.342733,17321,2.135091,9.280893e-02
(11#)15/2,18322,2.313856,18461,2.155543,7.087273e-02
(11#)8,18637,2.262025,19609,2.173938,3.972016e-02
(11#)17/2,20509,2.288028,20789,2.190801,4.342308e-02
(11#)9,20816,2.279925,21943,2.205582,3.315113e-02
(11#)19/2,22354,2.333078,23099,2.219076,5.009753e-02
(11#)10,23201,2.282149,24251,2.231448,2.246684e-02
(11#)21/2,24256,2.336632,25409,2.242880,4.094982e-02
(11#)11,25496,2.309603,26561,2.253082,2.477659e-02
(11#)23/2,27182,2.331847,27701,2.262782,3.006563e-02
(11#)12,27904,2.328254,28871,2.271755,2.456597e-02
(11#)25/2,29738,2.340355,30029,2.279999,2.612762e-02
(13#),30332,2.331433,31183,2.287833,1.887802e-02
(11#)27/2,31294,2.341935,32327,2.294995,2.024685e-02
(11#)14,32972,2.389670,32768,2.301770,3.747689e-02
(11#)29/2,34274,2.354215,34649,2.308188,1.974454e-02
(11#)15,35792,2.297694,35803,2.314156,-7.139031e-03
(11#)31/2,36436,2.373766,36947,2.319834,2.298209e-02
(11#)16,37201,2.393769,38113,2.325226,2.905187e-02
(11#)33/2,38188,2.401751,39251,2.330250,3.022250e-02
(11#)17,39992,2.425829,40423,2.335127,3.810704e-02
(11#)35/2,40597,2.307754,41579,2.339601,-1.370564e-02
(11#)18,41851,2.392174,42727,2.343975,2.035437e-02
(11#)37/2,43531,2.348344,43889,2.348061,1.205177e-04
(11#)19,44533,2.418503,45013,2.351990,2.788698e-02
(13#)3/2,45259,2.407217,46199,2.355766,2.160537e-02
(11#)20,46369,2.380141,47353,2.359385,8.758738e-03
(11#)41/2,47834,2.378831,48497,2.362781,6.769875e-03
(11#)21,48931,2.430664,49663,2.366078,2.693074e-02
(11#)43/2,50461,2.416903,50789,2.369195,1.993673e-02
(11#)22,51826,2.346624,51973,2.372212,-1.084515e-02
(11#)45/2,52876,2.469593,53129,2.375113,3.900834e-02
(11#)23,53624,2.388364,54277,2.377934,4.376569e-03
(11#)47/2,54421,2.447211,55439,2.380578,2.760569e-02
(11#)24,56176,2.444148,56591,2.383154,2.527178e-02
(11#)49/2,57172,2.426083,57737,2.385639,1.681101e-02
(11#)25,58789,2.355012,58901,2.388031,-1.392335e-02
(11#)51/2,59074,2.411060,60041,2.390341,8.630451e-03
(13#)2,61058,2.418361,61211,2.392598,1.071023e-02
(11#)53/2,61444,2.421746,62351,2.394732,1.121744e-02
(11#)27,63421,2.436905,63521,2.396819,1.658635e-02
(11#)55/2,64198,2.443219,64679,2.398810,1.834365e-02
(11#)28,65336,2.468498,65536,2.400773,2.781910e-02
(11#)57/2,66602,2.429966,66977,2.402636,1.131080e-02
(11#)29,67904,2.413565,68141,2.404476,3.772907e-03
(11#)59/2,69239,2.447118,69263,2.406225,1.685188e-02
(11#)30,69911,2.449157,70451,2.407952,1.696729e-02
(11#)61/2,70544,2.431070,71597,2.409596,8.872391e-03
(11#)31,71633,2.358847,72763,2.411236,-2.196654e-02
(11#)63/2,73016,2.438849,73907,2.412770,1.075074e-02
(11#)32,74716,2.474061,75041,2.414310,2.444740e-02
(13#)5/2,75968,2.467098,76213,2.415765,2.102655e-02
(11#)33,77144,2.383605,77383,2.417194,-1.399332e-02
(11#)67/2,78427,2.494035,78539,2.418623,3.070351e-02
(11#)34,79312,2.406904,79693,2.419941,-5.401885e-03
(11#)69/2,79784,2.452666,80849,2.421260,1.288753e-02
(11#)35,81749,2.460417,82003,2.422555,1.550808e-02
(11#)71/2,82252,2.460452,83137,2.423791,1.501223e-02
(11#)36,84046,2.459958,84313,2.425022,1.430368e-02
(11#)73/2,84562,2.471941,85469,2.426191,1.868113e-02
(11#)37,86248,2.426071,86599,2.427360,-5.311706e-04
(11#)75/2,87316,2.472748,87767,2.428470,1.806865e-02
(11#)38,88498,2.433762,88919,2.429576,1.721452e-03
(11#)77/2,89459,2.383150,90089,2.430636,-1.972981e-02
(13#)3,90526,2.492321,91243,2.431692,2.462709e-02
(11#)79/2,92357,2.434532,92399,2.432698,7.536114e-04
(11#)40,92656,2.473194,93553,2.433689,1.610222e-02
(11#)81/2,94228,2.450231,94709,2.434659,6.375600e-03
(11#)41,95467,2.446013,95857,2.435615,4.260061e-03
(11#)83/2,96361,2.470995,97007,2.436533,1.404478e-02
(11#)42,97684,2.508166,98143,2.437434,2.860596e-02
(11#)85/2,98764,2.453349,99317,2.438319,6.145162e-03
(11#)43,99581,2.468655,100483,2.439191,1.200704e-02
(11#)87/2,101467,2.483060,101627,2.440027,1.748257e-02
(11#)44,102352,2.491281,102793,2.440847,2.045193e-02
(11#)89/2,103214,2.468903,103919,2.441654,1.109824e-02
(11#)45,104056,2.467765,105097,2.442442,1.031452e-02
(13#)7/2,105883,2.452749,106243,2.443214,3.895051e-03
(11#)46,106298,2.480088,107377,2.443968,1.467110e-02
(11#)93/2,107684,2.498534,108557,2.444722,2.177274e-02
(11#)47,109717,2.499467,109721,2.445429,2.185694e-02
(11#)95/2,110281,2.415536,110879,2.446146,-1.259252e-02
(11#)48,111058,2.464714,112031,2.446830,7.282467e-03
(11#)97/2,112681,2.478536,113189,2.447523,1.259157e-02
(11#)49,113389,2.460935,114343,2.448183,5.195242e-03
(11#)99/2,115426,2.500222,115499,2.448837,2.076631e-02
(11#)50,116371,2.460027,116639,2.449468,4.301467e-03
(11#)101/2,116728,2.402456,117809,2.450086,-1.963158e-02
(11#)51,118894,2.444233,118931,2.450698,-2.641510e-03
(11#)103/2,119458,2.462122,120103,2.451299,4.405492e-03
(13#)4,121234,2.463828,121271,2.451886,4.858714e-03
(11#)105/2,121612,2.502568,122401,2.452466,2.022336e-02
(11#)53,123059,2.504951,123583,2.453034,2.094355e-02
(11#)107/2,124447,2.517146,124739,2.453586,2.557509e-02
(11#)54,125479,2.491172,125887,2.454132,1.498015e-02
(11#)109/2,126397,2.546025,127037,2.454660,3.654506e-02
(11#)55,127189,2.428594,128203,2.455182,-1.088840e-02
(11#)111/2,129263,2.490514,129347,2.455698,1.407808e-02
(11#)56,130307,2.503745,130513,2.456198,1.917299e-02
(11#)113/2,131641,2.512217,131072,2.456693,2.234949e-02
(11#)57,131888,2.478781,132817,2.457177,8.753777e-03
(11#)115/2,133174,2.475614,133979,2.457655,7.280803e-03
(11#)58,134087,2.503206,135131,2.458119,1.817589e-02
(13#)9/2,135802,2.501586,136277,2.458583,1.733976e-02
(11#)59,136649,2.492808,137443,2.459032,1.364201e-02
(11#)119/2,137587,2.515309,138599,2.459469,2.245019e-02
(11#)60,139511,2.466330,139753,2.459908,2.607265e-03
(11#)121/2,140009,2.495139,140909,2.460329,1.404936e-02
(11#)61,141676,2.498497,142061,2.460753,1.522195e-02
(11#)123/2,142258,2.505830,143197,2.461157,1.798845e-02
(11#)62,143896,2.509536,144349,2.461566,1.930014e-02
(11#)125/2,145144,2.491578,145517,2.461957,1.195968e-02
(11#)63,146176,2.504029,146683,2.462345,1.678689e-02
(11#)127/2,147401,2.521313,147827,2.462732,2.350849e-02
(11#)64,148696,2.533538,148991,2.463106,2.819359e-02
(11#)129/2,149846,2.509766,150131,2.463471,1.861819e-02
(13#)5,150292,2.507348,151303,2.463833,1.750735e-02
(11#)131/2,151909,2.518866,152459,2.464199,2.194199e-02
(11#)66,152914,2.505061,153611,2.464539,1.630831e-02
(11#)133/2,154702,2.506776,154769,2.464885,1.685231e-02
(11#)67,155816,2.502854,155921,2.465225,1.514860e-02
(11#)135/2,156007,2.496651,157061,2.465574,1.252559e-02
(11#)68,157901,2.486203,158233,2.465879,8.208311e-03
(11#)137/2,158419,2.533724,159389,2.466202,2.701084e-02
(11#)69,159407,2.542242,160541,2.466518,3.023893e-02
(11#)139/2,161659,2.491347,161683,2.466827,9.890819e-03
(11#)70,162353,2.507294,162853,2.467134,1.614693e-02
(11#)141/2,163297,2.519915,163997,2.467430,2.104805e-02
(11#)71,164954,2.477786,165161,2.467723,4.069556e-03
(13#)11/2,165701,2.520785,166319,2.468014,2.115658e-02
(11#)72,166351,2.526473,167471,2.468304,2.329298e-02
(11#)145/2,167809,2.490909,168629,2.468579,9.005023e-03
(11#)73,168814,2.509419,169783,2.468852,1.629799e-02
(11#)147/2,170539,2.495056,170927,2.469123,1.044815e-02
(11#)74,171694,2.497959,172093,2.469391,1.150244e-02
(11#)149/2,172849,2.504239,173249,2.469650,1.390846e-02
(11#)75,174214,2.457750,174389,2.469909,-4.935011e-03
(11#)151/2,174814,2.514062,175543,2.470160,1.761685e-02
(11#)76,176551,2.496728,176713,2.470410,1.059695e-02
(11#)153/2,177841,2.524335,177841,2.470657,2.149355e-02
(11#)77,178898,2.502055,179021,2.470895,1.253196e-02
(11#)155/2,179083,2.529322,180179,2.471130,2.327575e-02
(13#)6,180379,2.501151,181303,2.471361,1.198201e-02
(11#)157/2,181919,2.535068,182489,2.471595,2.535677e-02
(11#)79,182519,2.515243,183637,2.471817,1.741591e-02
(11#)159/2,184696,2.506373,184777,2.472038,1.379378e-02
(11#)80,185578,2.512282,185951,2.472257,1.606000e-02
(11#)161/2,187024,2.533868,187091,2.472467,2.453055e-02
(11#)81,187471,2.522543,188261,2.472677,1.996615e-02
(11#)163/2,189094,2.510677,189407,2.472885,1.516695e-02
(11#)82,189817,2.521375,190573,2.473087,1.933722e-02
(11#)165/2,191626,2.523077,191717,2.473287,1.993115e-02
(11#)83,191768,2.509171,192883,2.473486,1.432393e-02
(11#)167/2,193639,2.501153,194027,2.473677,1.104612e-02
(11#)84,194767,2.519507,195193,2.473869,1.827993e-02
(13#)13/2,195751,2.518018,196337,2.474054,1.761398e-02
(11#)85,197402,2.512439,197479,2.474242,1.531991e-02
(11#)171/2,198046,2.523633,198659,2.474418,1.969431e-02
(11#)86,199021,2.495353,199813,2.474598,8.352244e-03
(11#)173/2,200899,2.517394,200929,2.474771,1.707637e-02
(11#)87,201904,2.515768,202121,2.474943,1.636076e-02
(11#)175/2,203128,2.520731,203279,2.475112,1.826329e-02
(11#)88,203417,2.508934,204431,2.475279,1.350484e-02
(11#)177/2,204928,2.464243,205589,2.475441,-4.533901e-03
(11#)89,205924,2.529874,206699,2.475603,2.168550e-02
(11#)179/2,206984,2.513240,207877,2.475760,1.502534e-02
(11#)90,208129,2.513207,209039,2.475918,1.494839e-02
(11#)181/2,209362,2.520880,210209,2.476068,1.793623e-02
(13#)7,210557,2.506060,211349,2.476220,1.197859e-02
(11#)183/2,211459,2.494267,212507,2.476365,7.203139e-03
(11#)92,212644,2.547725,213659,2.476514,2.834888e-02
(11#)185/2,213784,2.541986,214817,2.476657,2.603600e-02
(11#)93,215854,2.563496,215983,2.476792,3.440778e-02
(11#)187/2,216917,2.525146,217121,2.476934,1.927738e-02
(11#)94,217697,2.481485,218287,2.477067,1.781972e-03
(11#)189/2,219311,2.546183,219437,2.477205,2.746447e-02
(11#)95,220453,2.532386,220589,2.477328,2.198138e-02
(11#)191/2,221332,2.526687,221747,2.477457,1.967633e-02
(11#)96,222634,2.538822,222913,2.477584,2.441630e-02
(11#)193/2,223469,2.547178,224069,2.477707,2.765254e-02
(11#)97,225002,2.551522,225223,2.477828,2.930767e-02
(13#)15/2,225892,2.548480,226379,2.477948,2.806630e-02
(11#)98,227251,2.549104,227533,2.478065,2.826391e-02
(11#)197/2,228097,2.525164,228677,2.478180,1.878159e-02
(11#)99,229234,2.519971,229841,2.478295,1.667657e-02
(11#)199/2,230848,2.518411,230999,2.478405,1.601294e-02
(11#)100,231643,2.524351,232153,2.478514,1.832481e-02
(11#)201/2,232189,2.532524,233297,2.478622,2.151367e-02
(11#)101,233978,2.534564,234463,2.478727,2.227651e-02
(11#)203/2,235028,2.506846,235607,2.478829,1.123912e-02
(11#)102,236092,2.538865,236773,2.478931,2.388971e-02
(11#)205/2,237883,2.566648,237929,2.479030,3.473341e-02
(11#)103,238892,2.539570,239081,2.479130,2.408708e-02
(11#)207/2,239857,2.497741,240209,2.479223,7.441519e-03
(13#)8,241393,2.514952,241393,2.479319,1.426979e-02
(11#)209/2,242119,2.534017,242533,2.479411,2.178476e-02
(11#)105,243043,2.536059,243703,2.479500,2.255437e-02
(11#)211/2,243736,2.522425,244859,2.479589,1.712792e-02
(11#)106,245587,2.544113,246011,2.479675,2.565456e-02
(11#)213/2,246518,2.561050,247141,2.479761,3.225515e-02
(11#)107,247868,2.534405,248323,2.479845,2.176284e-02
(11#)215/2,248867,2.548208,249463,2.479928,2.716084e-02
(11#)108,249512,2.527815,250619,2.480007,1.909391e-02
(11#)217/2,251081,2.534266,251789,2.480085,2.161121e-02
(11#)109,252071,2.523456,252937,2.480162,1.730551e-02
(11#)219/2,253741,2.514393,254083,2.480237,1.367730e-02
(11#)110,255214,2.528919,255253,2.480312,1.940758e-02
(17#)/2,259801,2.503359,270269,2.480383,9.220446e-03
(13#)9,272794,2.510783,285283,2.481190,1.185637e-02
(13#)19/2,285424,2.505523,300299,2.481774,9.523868e-03
(13#)10,303904,2.513081,315313,2.482164,1.237873e-02
(13#)21/2,324223,2.512902,330329,2.482384,1.221887e-02
(13#)11,340261,2.521429,345329,2.482388,1.560480e-02
(13#)23/2,354971,2.521369,360337,2.482204,1.565513e-02
(13#)12,366794,2.499164,375373,2.481911,6.927448e-03
(13#)25/2,386068,2.523716,390389,2.481520,1.686114e-02
(13#)13,401509,2.524416,405401,2.481040,1.733192e-02
(13#)27/2,414448,2.520611,420419,2.480478,1.605005e-02
(13#)14,431146,2.523703,435427,2.479840,1.753323e-02
(13#)29/2,448444,2.521152,450431,2.479133,1.680704e-02
(13#)15,463549,2.513127,465463,2.478360,1.393074e-02
(13#)31/2,467009,2.541140,480463,2.477527,2.535191e-02
(13#)16,488339,2.536748,495491,2.476637,2.398135e-02
(13#)33/2,498436,2.527659,510481,2.475695,2.077241e-02
(17#),515611,2.539315,524288,2.474701,2.577478e-02
(13#)35/2,535858,2.540830,540539,2.473659,2.679237e-02
(13#)18,548461,2.531963,555523,2.472575,2.373477e-02
(13#)37/2,569077,2.543991,570569,2.471443,2.893192e-02
(13#)19,571262,2.550486,585581,2.470273,3.195526e-02
(13#)39/2,588338,2.563074,600577,2.469065,3.736778e-02
(13#)20,612022,2.551653,615607,2.467816,3.340784e-02
(13#)41/2,621472,2.552996,630613,2.466533,3.445405e-02
(13#)21,633967,2.541689,645641,2.465213,3.055061e-02
(13#)43/2,656629,2.539026,660659,2.463860,3.005132e-02
(13#)22,674719,2.554681,675643,2.463277,3.643479e-02
(13#)45/2,686398,2.527108,690689,2.464997,2.488498e-02
(13#)23,703568,2.559020,705689,2.467871,3.626854e-02
(13#)47/2,713309,2.554701,720703,2.470633,3.346080e-02
(13#)24,733528,2.558252,735733,2.473298,3.377173e-02
(13#)49/2,748691,2.568782,750749,2.475858,3.684485e-02
(13#)25,758411,2.555201,765763,2.478332,3.054514e-02
(17#)3/2,770558,2.532269,780733,2.480712,2.057012e-02
(13#)26,787162,2.561586,795793,2.483016,3.115265e-02
(13#)53/2,804191,2.552045,810809,2.485235,2.652778e-02
(13#)27,819212,2.562766,825821,2.487387,2.985438e-02
