n,C(n),Cminus(n),C(n)-Cminus(n),CminusAsym(n),C(n)-CminusAsym(n),preMertens,preMertensAsymp,alpha(n)
661,1.788981,1.866254,-0.077273,2.068967,-0.279986,661,661,0.500000000000
677,2.010889,1.880026,0.130863,2.069413,-0.058524,661,677,0.500000000000
697,2.216917,1.896860,0.320057,2.069952,0.146965,661,677,0.500000000000
706,1.706515,1.904302,-0.197787,2.070188,-0.363674,706,706,0.500000000000
734,2.135493,1.926951,0.208542,2.070899,0.064594,706,706,0.500000000000
743,2.355865,1.934075,0.421790,2.071120,0.284745,706,706,0.500000000000
751,2.338294,1.940347,0.397947,2.071314,0.266980,706,706,0.500000000000
766,2.072834,1.951955,0.120879,2.071670,0.001164,706,706,0.500000000000
788,1.806384,1.968636,-0.162252,2.072176,-0.265792,788,788,0.500000000000
802,1.784236,1.979046,-0.194809,2.072489,-0.288252,802,802,0.500000000000
821,1.976976,1.992929,-0.015953,2.072902,-0.095926,821,821,0.500000000000
839,2.379710,2.005831,0.373879,2.073283,0.306427,821,821,0.500000000000
841,2.159749,1.935563,0.224186,2.073324,0.086425,821,821,0.500000000000
859,1.914982,1.947755,-0.032773,2.073693,-0.158711,859,859,0.500000000000
883,2.295458,1.963677,0.331781,2.074170,0.221288,859,859,0.500000000000
886,2.287381,1.965641,0.321739,2.074229,0.213152,859,859,0.500000000000
904,2.050129,1.977309,0.072821,2.074575,-0.024445,859,904,0.500000000000
919,1.825774,1.931690,-0.105916,2.074856,-0.249082,919,919,0.500000000000
943,1.991920,1.946315,0.045605,2.075294,-0.083374,919,943,0.500000000000
958,2.164457,1.955294,0.209163,2.075561,0.088896,919,943,0.500000000000
967,1.761041,1.895270,-0.134229,2.075718,-0.314677,967,967,0.500000000000
982,1.933461,1.903768,0.029693,2.075977,-0.142515,967,982,0.500000000000
997,2.106150,1.912155,0.193995,2.076230,0.029920,967,982,0.500000000000
1009,1.898450,1.918787,-0.020337,2.076429,-0.177979,1009,1009,0.500000000000
1024,2.252124,1.926983,0.325140,2.076674,0.175450,1009,1009,0.500000000000
1048,2.030676,1.939886,0.090790,2.077056,-0.046381,1009,1048,0.500000000000
1063,2.195023,1.947822,0.247200,2.077290,0.117733,1009,1048,0.500000000000
1072,2.361462,1.952538,0.408924,2.077428,0.284035,1009,1048,0.500000000000
1094,2.506504,1.963924,0.542580,2.077759,0.428745,1009,1048,0.500000000000
1109,1.952088,1.971576,-0.019488,2.077980,-0.125892,1109,1109,0.500000000000
1123,2.110511,1.929172,0.181339,2.078183,0.032328,1109,1109,0.500000000000
1126,2.104611,1.930637,0.173974,2.078226,0.026385,1109,1109,0.500000000000
1147,2.252003,1.940805,0.311198,2.078523,0.173480,1109,1109,0.500000000000
1223,2.150586,1.976316,0.174270,2.079545,0.071041,1109,1109,0.500000000000
1244,2.122683,1.938512,0.184171,2.079813,0.042871,1109,1109,0.500000000000
1319,1.723241,1.970493,-0.247252,2.080726,-0.357485,1319,1327,0.500000000000
1402,1.647631,1.948440,-0.300809,2.081662,-0.434031,1402,1402,0.500000000000
1489,1.865276,1.937890,-0.072614,2.082572,-0.217296,1571,1571,0.500000000000
1676,2.104753,2.001160,0.103594,2.084318,0.020435,1571,1571,0.500000000000
1774,2.019039,1.981114,0.037925,2.085138,-0.066099,1571,1774,0.500000000000
1844,2.207861,2.001664,0.206197,2.085690,0.122171,1571,1774,0.500000000000
1849,2.204669,1.955413,0.249256,2.085729,0.118940,1571,1774,0.500000000000
1966,1.989272,1.949222,0.040050,2.086592,-0.097320,1571,1966,0.500000000000
2029,1.715762,1.965470,-0.249707,2.087031,-0.371268,2038,2092,0.500000000000
2104,2.003507,1.984250,0.019256,2.087531,-0.084025,2038,2164,0.500000000000
2287,1.989104,1.983661,0.005444,2.088665,-0.099560,2038,2287,0.500000000000
2311,2.181519,1.989019,0.192500,2.088805,0.092714,2038,2287,0.500000000000
2347,2.156625,1.962535,0.194090,2.089012,0.067613,2038,2287,0.500000000000
2447,2.190317,1.983694,0.206623,2.089567,0.100750,2038,2287,0.500000000000
2623,2.363446,1.985515,0.377931,2.090478,0.272968,2038,2287,0.500000000000
2633,2.168203,1.987435,0.180769,2.090527,0.077676,2038,2287,0.500000000000
2809,2.065835,1.981374,0.084461,2.091362,-0.025527,2038,2809,0.500000000000
2909,2.274897,1.998870,0.276028,2.091807,0.183090,2038,2809,0.500000000000
2974,2.064698,2.009962,0.054736,2.092087,-0.027389,2038,2974,0.500000000000
3076,1.845344,1.996236,-0.150893,2.092511,-0.247167,3076,3076,0.500000000000
3221,2.107297,2.019200,0.088097,2.093085,0.014212,3076,3076,0.500000000000
3334,2.210551,2.036476,0.174076,2.093510,0.117041,3076,3076,0.500000000000
3386,2.340982,2.015050,0.325932,2.093700,0.247282,3076,3076,0.500000000000
3529,2.042718,2.000517,0.042201,2.094204,-0.051485,3076,3559,0.500000000000
3559,2.029695,1.976823,0.052872,2.094306,-0.064611,3076,3559,0.500000000000
3571,2.249487,1.978451,0.271036,2.094347,0.155140,3076,3559,0.500000000000
3769,1.943543,1.971228,-0.027685,2.094995,-0.151452,3769,3769,0.500000000000
3799,2.075010,1.975026,0.099984,2.095090,-0.020080,3769,3799,0.500000000000
3964,2.216472,1.995453,0.221019,2.095594,0.120878,3769,3799,0.500000000000
4051,2.044491,2.005925,0.038567,2.095850,-0.051358,3769,4051,0.500000000000
4153,2.340594,2.017953,0.322641,2.096141,0.244453,3769,4051,0.500000000000
4282,2.220909,2.006736,0.214173,2.096497,0.124413,3769,4051,0.500000000000
4393,2.306710,2.019038,0.287672,2.096792,0.209917,3769,4051,0.500000000000
4486,2.143577,2.029136,0.114441,2.097033,0.046544,3769,4051,0.500000000000
4603,2.102361,1.986128,0.116233,2.097328,0.005033,3769,4051,0.500000000000
4651,2.085780,1.991017,0.094764,2.097446,-0.011666,3769,4651,0.500000000000
4801,1.856187,2.006012,-0.149825,2.097806,-0.241619,4801,4801,0.500000000000
4909,2.178086,2.016555,0.161531,2.098057,0.080029,4801,4801,0.500000000000
4987,2.151973,2.024043,0.127930,2.098234,0.053740,4801,4801,0.500000000000
5086,2.176695,2.004351,0.172345,2.098453,0.078242,4801,4801,0.500000000000
5242,2.126897,2.018567,0.108330,2.098789,0.028108,4801,4801,0.500000000000
5308,2.217466,2.001464,0.216002,2.098927,0.118538,4801,4801,0.500000000000
5416,1.965120,1.982947,-0.017826,2.099149,-0.134029,5416,5416,0.500000000000
5557,2.301782,1.994820,0.306962,2.099431,0.202351,5416,5416,0.500000000000
5596,2.182571,1.998057,0.184513,2.099508,0.083063,5416,5416,0.500000000000
5728,2.248387,2.008868,0.239519,2.099762,0.148625,5416,5416,0.500000000000
5857,2.159168,2.019222,0.139946,2.100003,0.059165,5416,5416,0.500000000000
5906,2.349289,2.023102,0.326187,2.100093,0.249196,5416,5416,0.500000000000
6038,2.309643,2.033415,0.276229,2.100331,0.209312,5416,5416,0.500000000000
6131,2.233345,2.040561,0.192784,2.100495,0.132851,5416,5416,0.500000000000
6218,2.356115,2.047160,0.308955,2.100645,0.255470,5416,5416,0.500000000000
6353,2.124621,2.009710,0.114910,2.100874,0.023747,5416,5416,0.500000000000
6421,2.298798,2.014600,0.284198,2.100987,0.197811,5416,5416,0.500000000000
6568,2.399779,2.025016,0.374763,2.101226,0.298553,5416,5416,0.500000000000
6719,2.265862,2.035503,0.230360,2.101465,0.164397,5416,5416,0.500000000000
6791,2.430712,2.040430,0.390282,2.101576,0.329135,5416,5416,0.500000000000
6863,2.365471,2.024857,0.340614,2.101687,0.263784,5416,5416,0.500000000000
7024,2.323062,2.010678,0.312384,2.101928,0.221134,5416,5416,0.500000000000
7069,2.400851,2.013579,0.387272,2.101994,0.298856,5416,5416,0.500000000000
7108,2.390305,1.996314,0.393991,2.102052,0.288253,5416,5416,0.500000000000
7219,2.055910,2.003296,0.052615,2.102212,-0.046301,5416,7219,0.500000000000
7246,2.136908,2.004979,0.131929,2.102250,0.034658,5416,7219,0.500000000000
7351,2.199762,2.011475,0.188287,2.102399,0.097364,5416,7219,0.500000000000
7522,2.372402,2.021880,0.350522,2.102635,0.269768,5416,7219,0.500000000000
7561,2.321013,2.024224,0.296789,2.102687,0.218326,5416,7219,0.500000000000
7727,2.199214,2.014891,0.184323,2.102909,0.096305,5416,7219,0.500000000000
7846,2.336977,2.021776,0.315201,2.103064,0.233913,5416,7219,0.500000000000
7951,2.232082,1.986170,0.245912,2.103199,0.128883,5416,7219,0.500000000000
8062,2.328303,1.992307,0.335997,2.103339,0.224964,5416,7219,0.500000000000
8116,2.236375,1.995265,0.241110,2.103406,0.132969,5416,7219,0.500000000000
8224,2.292547,2.001129,0.291417,2.103539,0.189008,5416,7219,0.500000000000
8311,2.234912,2.005804,0.229108,2.103645,0.131268,5416,7219,0.500000000000
8429,2.249292,2.012075,0.237217,2.103786,0.145506,5416,7219,0.500000000000
8599,2.329117,2.002930,0.326187,2.103985,0.225132,5416,7219,0.500000000000
8614,2.287560,2.003701,0.283859,2.104002,0.183557,5416,7219,0.500000000000
8777,2.179478,2.012000,0.167478,2.104188,0.075290,5416,7219,0.500000000000
8839,2.279660,2.015121,0.264539,2.104258,0.175402,5416,7219,0.500000000000
9014,2.281605,2.023825,0.257779,2.104452,0.177153,5416,7219,0.500000000000
9091,2.412999,2.027608,0.385392,2.104535,0.308464,5416,7219,0.500000000000
9173,2.323530,2.031605,0.291926,2.104624,0.218907,5416,7219,0.500000000000
9283,2.301998,2.036917,0.265081,2.104740,0.197257,5416,7219,0.500000000000
9349,2.396602,2.040077,0.356525,2.104810,0.291792,5416,7219,0.500000000000
9511,2.294051,2.026420,0.267631,2.104977,0.189074,5416,7219,0.500000000000
9649,2.163663,2.032799,0.130864,2.105117,0.058545,5416,7219,0.500000000000
9748,2.284701,2.037325,0.247377,2.105216,0.179485,5416,7219,0.500000000000
9817,2.375649,2.040455,0.335195,2.105285,0.270365,5416,7219,0.500000000000
9941,2.284239,2.046031,0.238208,2.105406,0.178833,5416,7219,0.500000000000
10078,2.360845,2.052121,0.308724,2.105538,0.255307,5416,7219,0.500000000000
10174,2.343381,2.056344,0.287037,2.105629,0.237752,5416,7219,0.500000000000
10273,2.292671,2.040056,0.252615,2.105722,0.186949,5416,7219,0.500000000000
10369,2.243034,2.044166,0.198867,2.105811,0.137223,5416,7219,0.500000000000
10462,2.194423,2.048116,0.146307,2.105896,0.088526,5416,7219,0.500000000000
10501,2.449522,2.049763,0.399758,2.105932,0.343590,5416,7219,0.500000000000
10687,2.319381,2.037372,0.282009,2.106099,0.213282,5416,7219,0.500000000000
10786,2.430362,2.025223,0.405139,2.106187,0.324175,5416,7219,0.500000000000
10883,2.318296,2.029130,0.289166,2.106272,0.212025,5416,7219,0.500000000000
11023,2.452351,2.034714,0.417636,2.106393,0.345958,5416,7219,0.500000000000
11054,2.258518,2.035942,0.222575,2.106419,0.152099,5416,7219,0.500000000000
11197,2.391314,2.041568,0.349746,2.106540,0.284774,5416,7219,0.500000000000
11272,2.131467,2.044492,0.086974,2.106603,0.024864,5416,7219,0.500000000000
11353,2.334737,2.047632,0.287106,2.106670,0.228067,5416,7219,0.500000000000
11461,2.347919,2.016796,0.331124,2.106759,0.241160,5416,7219,0.500000000000
11593,2.296655,2.021741,0.274915,2.106866,0.189789,5416,7219,0.500000000000
11749,2.392249,2.027520,0.364729,2.106991,0.285258,5416,7219,0.500000000000
11839,2.348206,2.030824,0.317382,2.107062,0.241143,5416,7219,0.500000000000
11932,2.392674,2.015378,0.377295,2.107135,0.285539,5416,7219,0.500000000000
11971,2.386736,2.016780,0.369957,2.107165,0.279571,5416,7219,0.500000000000
12101,2.395745,2.021422,0.374323,2.107266,0.288479,5416,7219,0.500000000000
12281,2.223656,2.027777,0.195879,2.107402,0.116254,5416,7219,0.500000000000
12326,2.217079,2.029352,0.187727,2.107436,0.109643,5416,7219,0.500000000000
12422,2.346659,2.032696,0.313963,2.107508,0.239152,5416,7219,0.500000000000
12574,2.295932,2.022960,0.272973,2.107620,0.188313,5416,7219,0.500000000000
12671,2.225896,2.026255,0.199641,2.107690,0.118206,5416,7219,0.500000000000
12757,2.354186,2.029158,0.325029,2.107752,0.246434,5416,7219,0.500000000000
12878,2.336543,2.015058,0.321485,2.107839,0.228705,5416,7219,0.500000000000
12982,2.377047,2.003859,0.373188,2.107912,0.269135,5416,7219,0.500000000000
13049,2.340065,2.006037,0.334027,2.107959,0.232105,5416,7219,0.500000000000
13142,2.381559,2.009045,0.372514,2.108024,0.273535,5416,7219,0.500000000000
13241,2.313245,2.012226,0.301019,2.108092,0.205152,5416,7219,0.500000000000
13339,2.408045,2.015354,0.392690,2.108159,0.299885,5416,7219,0.500000000000
13451,2.365320,2.018904,0.346416,2.108235,0.257085,5416,7219,0.500000000000
13646,2.418129,2.025022,0.393108,2.108366,0.309764,5416,7219,0.500000000000
13729,2.380300,2.027602,0.352699,2.108421,0.271880,5416,7219,0.500000000000
13807,2.343338,2.030014,0.313324,2.108472,0.234867,5416,7219,0.500000000000
13943,2.508139,2.034191,0.473949,2.108560,0.399579,5416,7219,0.500000000000
14051,2.389016,2.037482,0.351534,2.108629,0.280387,5416,7219,0.500000000000
14096,2.408715,2.038846,0.369869,2.108658,0.300057,5416,7219,0.500000000000
14243,2.286441,2.043277,0.243165,2.108751,0.177690,5416,7219,0.500000000000
14332,2.428418,2.045939,0.382478,2.108807,0.319610,5416,7219,0.500000000000
14411,2.316236,2.048290,0.267945,2.108856,0.207379,5416,7219,0.500000000000
14528,2.225437,2.051751,0.173686,2.108929,0.116508,5416,7219,0.500000000000
14699,2.430591,2.056764,0.373827,2.109033,0.321558,5416,7219,0.500000000000
14779,2.470069,2.059092,0.410977,2.109081,0.360988,5416,7219,0.500000000000
14831,2.313924,2.046676,0.267248,2.109113,0.204811,5416,7219,0.500000000000
14951,2.398094,2.050112,0.347983,2.109184,0.288910,5416,7219,0.500000000000
15784,2.297078,2.059482,0.237597,2.109663,0.187415,5416,7219,0.500000000000
17218,2.342733,2.050829,0.291905,2.110421,0.232313,5416,7219,0.500000000000
18322,2.313856,2.064225,0.249631,2.110954,0.202902,5416,7219,0.500000000000
18637,2.262025,2.058923,0.203102,2.111099,0.150926,5416,7219,0.500000000000
20509,2.288028,2.056639,0.231389,2.111906,0.176123,5416,7219,0.500000000000
20816,2.279925,2.062799,0.217125,2.112029,0.167895,5416,7219,0.500000000000
22354,2.333078,2.055185,0.277893,2.112618,0.220459,5416,7219,0.500000000000
23201,2.282149,2.056674,0.225475,2.112923,0.169226,5416,7219,0.500000000000
24256,2.336632,2.074912,0.261721,2.113284,0.223349,5416,7219,0.500000000000
25496,2.309603,2.060277,0.249326,2.113685,0.195919,5416,7219,0.500000000000
27182,2.331847,2.052488,0.279359,2.114194,0.217653,5416,7219,0.500000000000
27904,2.328254,2.050613,0.277641,2.114401,0.213853,5416,7219,0.500000000000
28772,2.330170,2.062904,0.267265,2.114641,0.215528,5416,7219,0.500000000000
29738,2.340355,2.066309,0.274046,2.114899,0.225456,5416,7219,0.500000000000
30332,2.331433,2.062192,0.269241,2.115052,0.216381,5416,7219,0.500000000000
31294,2.341935,2.074689,0.267246,2.115294,0.226642,5416,7219,0.500000000000
32972,2.389670,2.072329,0.317340,2.115694,0.273976,5416,7219,0.500000000000
34274,2.354215,2.078383,0.275832,2.115988,0.238227,5416,7219,0.500000000000
35792,2.297694,2.077246,0.220448,2.116315,0.181379,5416,7219,0.500000000000
36436,2.373766,2.075334,0.298432,2.116449,0.257317,5416,7219,0.500000000000
37201,2.393769,2.072587,0.321182,2.116604,0.277165,5416,7219,0.500000000000
38188,2.401751,2.063359,0.338392,2.116799,0.284952,5416,7219,0.500000000000
39992,2.425829,2.051790,0.374039,2.117141,0.308688,5416,7219,0.500000000000
40597,2.307754,2.057609,0.250145,2.117251,0.190503,5416,7219,0.500000000000
41851,2.392174,2.069423,0.322751,2.117474,0.274700,5416,7219,0.500000000000
43531,2.348344,2.076420,0.271925,2.117760,0.230584,5416,7219,0.500000000000
44533,2.418503,2.067240,0.351263,2.117925,0.300578,5416,7219,0.500000000000
44923,2.421852,2.070610,0.351242,2.117988,0.303864,5416,7219,0.500000000000
45259,2.407217,2.073491,0.333726,2.118042,0.289176,5416,7219,0.500000000000
46369,2.380141,2.074925,0.305217,2.118216,0.261926,5416,7219,0.500000000000
47834,2.378831,2.086956,0.291875,2.118438,0.260393,5416,7219,0.500000000000
48931,2.430664,2.087929,0.342736,2.118599,0.312065,5416,7219,0.500000000000
50461,2.416903,2.082651,0.334252,2.118817,0.298086,5416,7219,0.500000000000
51826,2.346624,2.076120,0.270503,2.119005,0.227618,5416,7219,0.500000000000
52876,2.469593,2.067251,0.402342,2.119146,0.350446,5416,7219,0.500000000000
53624,2.388364,2.065245,0.323120,2.119244,0.269120,5416,7219,0.500000000000
54421,2.447211,2.061918,0.385293,2.119347,0.327864,5416,7219,0.500000000000
56176,2.444148,2.073939,0.370209,2.119568,0.324580,5416,7219,0.500000000000
57172,2.426083,2.071868,0.354215,2.119689,0.306393,5416,7219,0.500000000000
58789,2.355012,2.066653,0.288359,2.119882,0.235131,5416,7219,0.500000000000
59074,2.411060,2.068474,0.342586,2.119915,0.291145,5416,7219,0.500000000000
61058,2.418361,2.080931,0.337429,2.120141,0.298220,5416,7219,0.500000000000
61444,2.421746,2.083312,0.338434,2.120184,0.301562,5416,7219,0.500000000000
63421,2.436905,2.080096,0.356810,2.120399,0.316506,5416,7219,0.500000000000
64198,2.443219,2.084679,0.358539,2.120482,0.322737,5416,7219,0.500000000000
65029,2.470528,2.082786,0.387742,2.120569,0.349959,5416,7219,0.500000000000
65336,2.468498,2.077875,0.390623,2.120601,0.347897,5416,7219,0.500000000000
66602,2.429966,2.076930,0.353036,2.120730,0.309236,5416,7219,0.500000000000
67904,2.413565,2.077582,0.335984,2.120860,0.292705,5416,7219,0.500000000000
69239,2.447118,2.076902,0.370216,2.120990,0.326128,5416,7219,0.500000000000
69911,2.449157,2.080503,0.368654,2.121055,0.328102,5416,7219,0.500000000000
70544,2.431070,2.083867,0.347203,2.121115,0.309955,5416,7219,0.500000000000
71633,2.358847,2.089590,0.269257,2.121217,0.237630,5416,7219,0.500000000000
73016,2.438849,2.088921,0.349928,2.121343,0.317505,5416,7219,0.500000000000
74716,2.474061,2.083415,0.390646,2.121495,0.352565,5416,7219,0.500000000000
75968,2.467098,2.083371,0.383727,2.121605,0.345494,5416,7219,0.500000000000
77144,2.383605,2.081502,0.302103,2.121706,0.261899,5416,7219,0.500000000000
78427,2.494035,2.087608,0.406427,2.121814,0.372222,5416,7219,0.500000000000
79312,2.406904,2.084297,0.322607,2.121887,0.285017,5416,7219,0.500000000000
79784,2.452666,2.086490,0.366177,2.121926,0.330741,5416,7219,0.500000000000
81749,2.460417,2.076046,0.384371,2.122084,0.338333,5416,7219,0.500000000000
82252,2.460452,2.078298,0.382154,2.122124,0.338328,5416,7219,0.500000000000
84046,2.459958,2.080304,0.379654,2.122263,0.337694,5416,7219,0.500000000000
84562,2.471941,2.082550,0.389391,2.122303,0.349638,5416,7219,0.500000000000
86248,2.426071,2.076830,0.349241,2.122430,0.303641,5416,7219,0.500000000000
87316,2.472748,2.081330,0.391418,2.122509,0.350238,5416,7219,0.500000000000
88498,2.433762,2.086253,0.347510,2.122596,0.311167,5416,7219,0.500000000000
89459,2.383150,2.090211,0.292939,2.122665,0.260485,5416,7219,0.500000000000
90526,2.492321,2.088838,0.403484,2.122740,0.369581,5416,7219,0.500000000000
92357,2.434532,2.096174,0.338358,2.122868,0.311664,5416,7219,0.500000000000
92656,2.473194,2.097359,0.375835,2.122888,0.350305,5416,7219,0.500000000000
94228,2.450231,2.097879,0.352352,2.122995,0.327236,5416,7219,0.500000000000
95467,2.446013,2.095796,0.350217,2.123078,0.322935,5416,7219,0.500000000000
96361,2.470995,2.093651,0.377344,2.123137,0.347858,5416,7219,0.500000000000
97684,2.508166,2.091860,0.416306,2.123223,0.384943,5416,7219,0.500000000000
98764,2.453349,2.083679,0.369670,2.123292,0.330057,5416,7219,0.500000000000
99581,2.468655,2.086666,0.381989,2.123344,0.345311,5416,7219,0.500000000000
101467,2.483060,2.081471,0.401589,2.123461,0.359599,5416,7219,0.500000000000
102352,2.491281,2.084609,0.406672,2.123516,0.367765,5416,7219,0.500000000000
103214,2.468903,2.087641,0.381262,2.123568,0.345335,5416,7219,0.500000000000
104056,2.467765,2.090580,0.377185,2.123619,0.344146,5416,7219,0.500000000000
105883,2.452749,2.091589,0.361160,2.123727,0.329022,5416,7219,0.500000000000
106298,2.480088,2.093004,0.387084,2.123751,0.356337,5416,7219,0.500000000000
107684,2.498534,2.092447,0.406087,2.123832,0.374702,5416,7219,0.500000000000
108874,2.500625,2.096419,0.404206,2.123900,0.376725,5416,7219,0.500000000000
109717,2.499467,2.092847,0.406621,2.123948,0.375520,5416,7219,0.500000000000
110281,2.415536,2.094696,0.320839,2.123979,0.291557,5416,7219,0.500000000000
111058,2.464714,2.097230,0.367483,2.124022,0.340691,5416,7219,0.500000000000
112681,2.478536,2.097319,0.381217,2.124112,0.354424,5416,7219,0.500000000000
113389,2.460935,2.099578,0.361357,2.124150,0.336784,5416,7219,0.500000000000
115426,2.500222,2.099739,0.400483,2.124260,0.375963,5416,7219,0.500000000000
116371,2.460027,2.102678,0.357349,2.124309,0.335717,5416,7219,0.500000000000
116728,2.402456,2.103782,0.298674,2.124328,0.278127,5416,7219,0.500000000000
118894,2.444233,2.100356,0.343877,2.124440,0.319792,5416,7219,0.500000000000
119458,2.462122,2.102057,0.360064,2.124469,0.337653,5416,7219,0.500000000000
119914,2.463482,2.103428,0.360054,2.124493,0.338990,5416,7219,0.500000000000
121234,2.463828,2.101277,0.362551,2.124559,0.339269,5416,7219,0.500000000000
121612,2.502568,2.102395,0.400173,2.124578,0.377990,5416,7219,0.500000000000
123059,2.504951,2.100591,0.404360,2.124650,0.380302,5416,7219,0.500000000000
124447,2.517146,2.099719,0.417427,2.124718,0.392428,5416,7219,0.500000000000
125479,2.491172,2.091849,0.399323,2.124768,0.366405,5416,7219,0.500000000000
126397,2.546025,2.094448,0.451577,2.124812,0.421213,5416,7219,0.500000000000
126859,2.547037,2.095749,0.451288,2.124834,0.422203,5416,7219,0.500000000000
127189,2.428594,2.096676,0.331918,2.124849,0.303744,5416,7219,0.500000000000
129263,2.490514,2.091791,0.398723,2.124947,0.365567,5416,7219,0.500000000000
130307,2.503745,2.094652,0.409093,2.124995,0.378750,5416,7219,0.500000000000
131641,2.512217,2.093529,0.418688,2.125056,0.387161,5416,7219,0.500000000000
131888,2.478781,2.094195,0.384586,2.125067,0.353714,5416,7219,0.500000000000
133174,2.475614,2.097643,0.377971,2.125126,0.350489,5416,7219,0.500000000000
134087,2.503206,2.100073,0.403133,2.125166,0.378039,5416,7219,0.500000000000
135802,2.501586,2.094162,0.407424,2.125242,0.376344,5416,7219,0.500000000000
136649,2.492808,2.096366,0.396442,2.125279,0.367529,5416,7219,0.500000000000
137587,2.515309,2.098792,0.416517,2.125320,0.389989,5416,7219,0.500000000000
139511,2.466330,2.093465,0.372864,2.125403,0.340927,5416,7219,0.500000000000
